ScenarioId,Category,Difficulty,ServSafeVersion,Scenario,Choice1,Choice2,Choice3,CorrectChoice,Explanation
11,Intervention & Refusal,2,3,A guest you have refused service to asks their sober friend to order a round for the table including a drink for the refused guest. What do you do?,Serve the drinks — the friend ordered them not the refused guest,Refuse alcohol service to the intoxicated guest regardless of who placed the order,Serve the friend but tell them not to give the drink to the refused guest,2,A refusal applies to the intoxicated person not to who places the order. Allowing friends to order around a refusal circumvents responsible service and creates the same liability as serving the guest directly.
12,Intervention & Refusal,2,3,After refusing service a guest calms down and says they will call a rideshare. You watch them from across the bar and see them walking toward the parking lot instead. What should you do?,They said they would call a ride — your job is done,Notify a manager immediately and consider contacting law enforcement if they appear to be attempting to drive,Follow them outside to stop them physically,2,Your duty of care extends beyond the refusal. A guest who appears to be driving while impaired warrants notifying management and potentially law enforcement. You cannot physically restrain them but you can call for help.
13,Legal Liability,1,3,An intoxicated guest leaves your establishment and injures a pedestrian in a car accident. The guest's family claims your establishment is not responsible because the guest chose to drive. Are they right?,Yes — the guest made their own choice to drive,No — dram shop laws may hold your establishment liable if the guest was visibly intoxicated when served,Only if the guest was a minor,2,Dram shop laws hold establishments liable for harm caused by guests they served while visibly intoxicated. A guest's independent decision to drive does not eliminate your liability if you continued service despite visible signs of intoxication.
14,Legal Liability,2,3,A minor presents a very convincing fake ID that passes your scanner and looks genuine. You serve them and later discover they were underage. Are you fully protected from liability?,Yes — you checked the ID and it looked real,Possibly — the fake ID defense varies by state and may not provide complete protection everywhere,No — you are always fully liable regardless of ID quality,2,The fake ID defense varies significantly by state. Some states offer protection when IDs are checked carefully and appear genuine. Others impose strict liability. Knowing your state's law and consistently checking IDs is your best protection.
15,Responsible Service,1,3,You notice a coworker continuing to serve a guest who you believe is visibly intoxicated. Your coworker says the guest is a regular and they always get like this. What do you do?,Mind your own section — it is not your responsibility,Notify a manager immediately. Responsible service is a team responsibility and visible intoxication requires action regardless of the guest's history.,Tell the coworker to slow down but do not involve management,2,Responsible service is a shared team responsibility. A guest's history as a regular does not change the standard. Visible intoxication requires action and involving management is always the correct escalation path.
16,Responsible Service,2,3,A large group has been celebrating for several hours. Individual members seem fine but as a group they are getting louder and ordering rounds faster. What should you do?,Continue serving — no individual is visibly intoxicated yet,Alert management and consider pacing service for the group as a whole,Cut off the entire group immediately,2,Groups can collectively normalize and accelerate excessive consumption. Alerting management and proactively pacing service for the group as a whole is the responsible approach — before individuals reach visible intoxication.
17,Responsible Service,2,3,A guest who was refused service 30 minutes ago has been sitting quietly at the bar drinking water. They ask if they can order a soft drink and some food. What do you do?,Refuse all service — they were cut off,Serve the food and soft drink. Continue monitoring and assess whether they are recovering before considering any change in alcohol service status.,Serve them one beer since they have calmed down,2,After refusing alcohol service you should continue providing hospitality through food and non-alcoholic options. This reduces confrontation and allows you to monitor recovery. Alcohol service should only resume if the guest has clearly sobered and sufficient time has passed.
18,BAC & Physiology,3,3,A guest orders a round of shots of 100-proof whiskey for their table of four. One of the guests is notably smaller than the others. What is the responsible service consideration?,Serve the round — everyone is adults,Be aware that the smaller guest will reach a higher BAC faster than the others from the same amount. Monitor them more closely.,Refuse to serve shots — they are too strong,2,100-proof whiskey is 50% alcohol. Body weight significantly affects BAC. A smaller person consuming the same amount as larger companions will reach a higher BAC faster. Closer monitoring of the smaller guest is a responsible service practice.
19,Intervention & Refusal,3,3,A manager tells you to serve a guest you believe is visibly intoxicated saying they are a VIP and an important customer. What should you do?,Follow the manager's instruction — they have authority over you,Express your concern professionally and ask the manager to personally assess the guest before service continues,Serve the guest but document that you were instructed to do so,2,You are personally responsible for your service decisions in many states regardless of managerial instruction. Express your concern clearly and ask the manager to personally evaluate the guest. Personal liability does not transfer to managers automatically.
20,Legal Liability,3,3,Your establishment has a detailed written responsible service policy. A server violates that policy and over-serves a guest who later causes an accident. Can your establishment still be liable?,No — the written policy protects the establishment,Yes — establishments are generally liable for employee actions even when those actions violate internal policy,Only if the manager knew about the over-service,2,Written policies provide evidence of intent and help in legal defense but do not eliminate liability for employee actions. Establishments are generally held responsible for what their employees do on the job. Consistent enforcement of the policy is the key to reducing liability.
