ID,Category,Fact
49,BAC & Physiology,A person with high alcohol tolerance can have a dangerous BAC while appearing sober.
50,BAC & Physiology,Impairment of judgment and coordination begins at a BAC well below the legal limit of 0.08%.
51,Intervention & Refusal,The goal of intervention is to prevent harm — to the guest and to others.
52,Intervention & Refusal,Begin slowing service at the first sign of intoxication — not after the guest is visibly drunk.
53,Intervention & Refusal,Offering food water or a non-alcoholic alternative is the most effective way to slow service.
54,Intervention & Refusal,Always refuse service privately calmly and respectfully.
55,Intervention & Refusal,"Never say ""you have had enough"" — it is accusatory and tends to escalate situations."
56,Intervention & Refusal,A refused guest's insistence that they are fine does not override your professional assessment.
57,Intervention & Refusal,Do not reverse a refusal under pressure — the legal risk far outweighs the social discomfort.
58,Intervention & Refusal,After refusing service ensure the guest has a safe way home before they leave.
59,Intervention & Refusal,You cannot physically restrain a guest — but you can call law enforcement if they intend to drive.
60,Intervention & Refusal,A guest who arrives already intoxicated should be refused alcohol service immediately.
61,Intervention & Refusal,Friends cannot order alcohol for an intoxicated guest to get around a refusal.
62,Intervention & Refusal,Document refusals promptly — include time description and any witnesses.
63,Intervention & Refusal,In a team refusal the primary server leads while the backup provides presence not confrontation.
64,Intervention & Refusal,If a guest loses consciousness call 911 immediately — do not wait.
65,Intervention & Refusal,Offering water and a non-alcoholic drink after a refusal reduces confrontation and shows hospitality.
66,Legal Liability,Dram shop laws hold establishments liable for harm caused by guests they served while intoxicated.
67,Legal Liability,Third parties who were not at your establishment can sue you under dram shop law.
68,Legal Liability,Most states hold servers criminally liable for serving a minor a visibly intoxicated guest or allowing drug sales.
69,Legal Liability,Serving alcohol to anyone under 21 can result in criminal charges fines and license revocation.
70,Legal Liability,The fake ID defense does not provide complete protection in all states.
71,Legal Liability,Many states allow personal liability claims directly against individual servers.
72,Legal Liability,Consistent responsible service practices combined with documentation are the strongest legal defense.
73,Legal Liability,Incident reports created promptly after an event are critical evidence in legal proceedings.
74,Legal Liability,Courts apply the reasonable server standard — would a trained server have seen the signs.
75,Legal Liability,The ABC (Alcohol Beverage Control) enforces alcohol laws and can suspend or revoke your liquor license.
76,Legal Liability,Criminal liability can result in fines imprisonment and loss of your license to serve alcohol.
77,Legal Liability,Civil liability involves private lawsuits seeking financial damages from your establishment.
78,Legal Liability,Written responsible service policies demonstrate a culture of accountability in legal proceedings.
79,Legal Liability,Dram shop laws include caps — limits on the financial damages that can be awarded — that vary by state.
80,Legal Liability,An establishment can still face liability even if a server over-served a guest against house policy.
81,Responsible Service,Responsible alcohol service balances hospitality with a duty to protect guests and the public.
82,Responsible Service,Monitor guest consumption from the very first drink — not just when problems appear.
83,Responsible Service,Food slows alcohol absorption — offering food to drinking guests is a responsible service practice.
84,Responsible Service,A house policy on alcohol service provides operational guidance and legal protection.
85,Responsible Service,Management is responsible for training staff establishing policy and supporting servers during refusals.
86,Responsible Service,Servers should not consume alcohol while on duty as it impairs their ability to assess guests.
87,Responsible Service,Consistent application of responsible service standards on every shift is your best legal protection.
88,Responsible Service,Comprehensive training develops judgment not just compliance with minimum requirements.
89,Responsible Service,Offering visible non-alcoholic options makes it easier for guests to pace themselves without embarrassment.
90,Responsible Service,A last call procedure should allow time to monitor the final round and arrange safe transportation.
91,Responsible Service,Reporting a coworker who is over-serving a guest is a shared team responsibility.
92,Responsible Service,Responsible service promotions avoid incentivizing rapid or excessive alcohol consumption.
93,Responsible Service,The ServSafe Alcohol Primary exam is 40 questions and requires a 75% passing score.
94,Responsible Service,The ServSafe Alcohol Advanced exam is 70 questions and requires an 80% passing score with a proctor.
95,Responsible Service,Well-trained servers recognize early signs of intoxication and intervene before problems escalate.
