ID,Type,Category,Content,MustHave
18,Scenario,ID Verification,A regular customer who you know is over 21 comes in without their ID. What do you do? Refuse service. Knowing a guest does not substitute for ID verification. No ID no service.,1
19,Tip,Signs of Intoxication,The exam will describe a guest's behavior and ask what it indicates. Match the behavior to the category — physical signs are things you can see on the body and behavioral signs are things the person does or says.,1
20,Trap,Signs of Intoxication,The exam will offer the guest says they are fine as a reason to continue service. A guest's self-report never overrides observable signs of intoxication.,1
21,MemoryHook,Signs of Intoxication,The Three Ss — Slurred speech Stumbling and Spilling. These are the most visible physical signs of intoxication. If you see two of the Three Ss it is time to act.,1
22,Tip,Signs of Intoxication,When the exam describes a guest who shifts from loud and energetic to quiet and drowsy that is a significant sign of high intoxication — not tiredness. Act on it.,1
23,Scenario,Signs of Intoxication,A guest who arrived sober an hour ago is now speaking slowly and struggling to find words. Their drink count is three. What do you do? Begin slowing service immediately and monitor closely. Do not wait for more signs.,1
24,Scenario,Signs of Intoxication,A guest insists they only had one drink but their speech is slurred and they are unsteady. What takes priority — their claim or your observation? Your observation always takes priority. Observable signs override self-reporting.,1
25,Trap,Signs of Intoxication,The exam will suggest waiting until the guest is clearly drunk before taking action. Early intervention is always the correct approach — not waiting for visible intoxication.,1
26,Tip,BAC & Physiology,Any question about what speeds up elimination of alcohol has one answer — nothing. Only time reduces BAC. Coffee exercise water and food after drinking are all wrong answers.,1
27,Trap,BAC & Physiology,The exam loves to offer coffee sobers people up as a distractor. Coffee makes an alert drunk. The alcohol is still there. Only time reduces BAC.,1
28,MemoryHook,BAC & Physiology,WGFRC — Weight Gender Food Rate Carbonation. These are the five main factors that affect how fast BAC rises. Lighter smaller drinking faster on an empty stomach with a carbonated drink equals higher BAC faster.,1
29,Tip,BAC & Physiology,Standard drink questions always have the same answer — 12 oz beer equals 5 oz wine equals 1.5 oz spirits. All contain 0.6 oz of pure alcohol. The container does not change the alcohol content.,1
30,Trap,BAC & Physiology,The exam will suggest that carbohydrates are the best food to slow intoxication. They are not. High protein and high fat foods are more effective at slowing alcohol absorption.,1
31,Scenario,BAC & Physiology,A guest has been drinking beer for two hours and wants to switch to doubles of whiskey. What does this suggest? It may indicate an intent to increase intoxication rapidly. Monitor closely and consider slowing service.,1
32,Tip,BAC & Physiology,For proof questions remember divide by 2. 80 proof is 40% alcohol. 100 proof is 50% alcohol. Higher proof means more alcohol per drink which means faster BAC rise.,1
33,MemoryHook,BAC & Physiology,One drink per hour is the liver's speed limit. It never changes. Think of the liver as a single-lane road — you can only process one car at a time no matter how many are waiting.,1
34,Scenario,BAC & Physiology,A 110-pound woman and a 200-pound man have been drinking the same number of drinks at the same pace. Who likely has a higher BAC? The woman — body weight is one of the biggest factors in BAC. Same drinks different outcomes.,1
35,Tip,Intervention & Refusal,Any question asking how to refuse service has the same core answer — do it privately calmly and respectfully. Public confrontation is never correct.,1
36,Trap,Intervention & Refusal,The exam will offer give them one more drink to calm them down as a distractor. It is never correct. Continuing to serve an intoxicated guest increases liability and harm.,1
37,MemoryHook,Intervention & Refusal,The Three Ps of Refusal — Private Polite Professional. Always refuse away from the crowd with a calm respectful tone focusing on what you can do rather than judging the guest.,1
38,Tip,Intervention & Refusal,When the exam describes a manager telling a server to serve a guest the server believes is intoxicated — the correct answer is always to express concern and ask the manager to personally assess the guest.,1
39,Scenario,Intervention & Refusal,A guest becomes angry after you refuse service and threatens to complain to your manager. What do you do? Stay calm involve the manager and do not reverse the refusal. Pressure is not a reason to continue service.,1
40,Trap,Intervention & Refusal,The exam will suggest that once a guest leaves your establishment your responsibility ends. It does not. Your duty of care can extend beyond the door particularly for drunk driving situations.,1
41,Scenario,Intervention & Refusal,A group of friends tries to order drinks for a member of their group you have already refused. What do you do? Refuse the alcohol. The refusal applies to the person not to who places the order.,1
42,Tip,Intervention & Refusal,For questions about drunk driving prevention the answer is always offer alternative transportation involve management and if needed call law enforcement. Taking their keys by force is never correct.,1
43,MemoryHook,Intervention & Refusal,R.E.F.U.S.E. — Remain calm Express concern Find alternatives Use supportive language Stay firm End professionally. This is the framework for a responsible and effective refusal.,1
44,Scenario,Intervention & Refusal,A guest who was refused service at another bar walks into yours and orders a drink. They appear intoxicated. What do you do? Refuse service. They are already intoxicated. Where they drank before does not matter.,1
45,Tip,Legal Liability,Any question about dram shop liability has the same core concept — the establishment is responsible for harm caused by guests they served while visibly intoxicated. Third parties can sue.,1
46,Trap,Legal Liability,The exam will suggest that serving a guest who seemed fine at the time eliminates all liability. It does not. If the guest was showing signs of intoxication your liability is significant.,1
47,Tip,Legal Liability,For criminal liability questions remember the three exposures — serving a minor serving a visibly intoxicated guest and possessing or allowing drug sales. These are the three most tested criminal liability scenarios.,1
48,Scenario,Legal Liability,A guest injures someone in a car accident after leaving your establishment. Can your establishment be liable? Yes — if you served them while they were visibly intoxicated dram shop laws may apply.,1
49,MemoryHook,Legal Liability,Criminal law equals the state coming after you. Civil law equals a private person suing you for money. Both can happen from the same negligent service event.,1
50,Trap,Legal Liability,The exam will suggest that a convincing fake ID eliminates all liability for serving a minor. It does not in all states. Proper ID checking is required but does not guarantee full protection everywhere.,1
51,Tip,Legal Liability,For liability protection questions the answer always combines consistent responsible service with thorough documentation. One without the other is not the strongest defense.,1
52,Scenario,Legal Liability,A server over-serves a guest against the establishment's written policy. Can the establishment still be liable? Yes — establishments are generally liable for employee actions even when those actions violate internal policy.,1
53,MemoryHook,Legal Liability,The Reasonable Server Standard — ask yourself would a reasonable trained server have seen these signs. If yes and you served anyway your liability is significant. Training is your best defense.,1
54,Tip,Responsible Service,Any question about the goal of responsible service has the same answer — prevent harm while providing a safe and enjoyable experience. It is not about maximizing sales or meeting minimum requirements.,1
55,Trap,Responsible Service,The exam will suggest that happy hour specials with unlimited drinks are a responsible promotion. They are not. Responsible promotions never incentivize rapid or excessive consumption.,1
56,Scenario,Responsible Service,You notice a coworker continuing to serve a guest who you believe is visibly intoxicated. What do you do? Notify a manager immediately. Responsible service is a team responsibility not just the individual server's problem.,1
57,Tip,Responsible Service,For questions about pre-intoxicated guests arriving at your establishment the answer is always refuse alcohol service. It does not matter where they became intoxicated — visible intoxication equals no service.,1
58,MemoryHook,Responsible Service,MAPS — Monitor from drink one Ask yourself if they are showing signs Pace service with food and water Summon a manager when needed. That is the responsible service framework in four steps.,1
59,Scenario,Responsible Service,A guest who has been pacing themselves all evening and shows no signs of intoxication asks for another drink. What do you do? Serve them normally. Responsible service does not mean refusing service — it means monitoring and acting when signs warrant it.,1
60,Trap,Responsible Service,The exam will suggest that once you have served a guest without incident your responsibility for that shift is complete. It is not. Monitoring continues with every drink for every guest for the entire visit.,1
